symbol,context,meaning,context_len,n_interps
Remodeling,To dream that you are remodeling," indicates that you are reevaluating your values and making changes to your belief system. Alternatively, the dream means that you need a change in your life.",32,1
Remote Control,To see a remote control in your dream, refers to how your buttons are being pushed by someone. Perhaps a relationship or situation that is too controlling.,37,1
Renaissance,To dream that you are living during the renaissance, represents your non-conformist attitude. You are looking to be different and trying something new. It is time to branch out and break out of the box.,51,1
Renovate,To dream that you are renovating," indicates that you are looking at life from a new perspective. Your old ideas or habits are being replaced by new ways of looking at the world. Alternatively, the dream suggests that you have triumph over much adversity.",32,1
Rent,To dream that you are paying rent," represents your personal responsibilities and sense of independence. Alternatively, it indicates a transitional phase in your life.",33,3
Rent,To dream that you do not have enough money to pay the rent or that your rent is going up," suggests that your emotional psyche is strained. Someone or some situation is putting heavy demands on you. More directly, the dream could represent financial worries.",88,3
Rent,To dream that you rent out your home," implies that you have put your own priorities aside for the sake of others. In particular, if you are renting your childhood house, then it means that it is time to let go of the past and recognize the value of the future.",36,3
Repair,To dream that you are repairing something, implies that you are recovering from an upsetting or difficult situation. The item that you are repairing is indicative of the area in your life that you are working on.,41,1
Repairman,To see a repairman in you dream, signifies psychological healing.,31,1
Repeat,To dream that something is repeating," indicates that there is some message that you need to ingrain in your mind. Perhaps you are trying to memorize something. Alternatively, the dream refers to the monotony and routine of your daily life. You need to get out of the rut.",36,1
Repent,To dream that you are repenting, means you need to recognize your past mistakes and learn from it. The dream reflects your feelings of guilt and remorse about some situation.,31,2
Repent,To dream that someone repents, implies that you need to be more accepting of their flaws of shortcomings.,29,2
Replacement,To dream that you have been replaced at work, represents your concern about your current job security. You feel that you are in a precarious position at work or in some group project.,44,2
Replacement,To dream that something has been replaced, indicates that you are struggling with feelings of insecurity.,41,2
Replay,To have a dream that is on replay or on a loop," points to something that you are refusing to acknowledge. Such dream are similar to recurring dreams which occur over a period of more than one day as opposed to within the same dream. Alternatively, dreaming of the same scene over and over again indicates that you are unable to move forward. You feel stuck in you current situation and do not know how to get out of it.",46,1
Report,To dream that you are writing a report, suggests that you need to think things through before acting on them. You need to be more objective when evaluating a situation.,38,2
Report,To see or read a report in your dream, indicates some anxiety over an issue. You may be faced with an approaching deadline.,37,2
Report Card,To see a report card in your dream," symbolizes how you are performing in various aspects of your waking life. You may be questioning your job or your abilities. If you are still in school, then the dream may represent your anxieties about your grades. Also consider the significance of the specific letters or grades on the report card.",34,1
Reporter,To see or dream that you are a reporter, refers to a situation where you need to be neutral and not pick sides.,39,1
Reprieve,To dream that you are granted a reprieve, indicates that you will overcome some difficulty which has been giving you much anxiety.,40,1
Reproductive System,To see or dream about the reproductive system," refers to the early stage of a new project or new relationship in your life. It symbolizes creation, imagination and new ideas. A more direct interpretation may just mean that you want to be pregnant or are anxious about an existing pregnancy.",45,1
Reptile,To see a reptile in your dream," symbolizes your basic urges, instincts and suppressed sexual desires.",30,1
Reputation,To dream that your reputation is called into question, suggests that you are too overly concerned with what other people think about you.,53,1
Rescue,To dream that you are being rescued or rescue others," represents an aspect of yourself that has been neglected or ignored. You are trying to find a way to express this neglected part of yourself. Alternatively, it symbolizes an subconscious cry for help. Perhaps you are too proud in your waking life to ask for assistance.",52,2
Rescue,"In particular, to dream that you rescue someone from drowning", indicates that you have successfully acknowledged certain emotions and characteristics that is symbolized by the drowning victim.,61,2
Reservoir,To see a filled reservoir in your dream," symbolizes pent up or repressed emotions. If the reservoir is empty in your dream, then it indicates that you have expended all your energy and emotions on others. You need to focus on yourself for a change.",39,1
Reset Button,To see or press a reset button in your dream," indicates that you are stuck in some problem, situation or relationship. You need to push forward. Perhaps, it is time to make a new start. Alternatively, the dream symbolizes second chances.",44,1
Resign,To dream that you resign from a position, indicates major changes in your life. You can no longer continue on in the same course and must make drastic changes.,40,1
Resolution,To dream that you are making a resolution," symbolizes your commitment and dedication to the changes that you are making in your life. Alternatively, the dream may be a metaphor for a ""resolution"" or an answer.",41,1
Resort,To dream that you are on a resort," represents your need for some relaxation. You need to escape from the pressures of everyday life in order to re-energize yourself. The dream may also be a pun on some ""last resort"". You may be feeling desperate. Don't be afraid to turn to someone for help.",33,1
Restaurant,To dream that you are in a restaurant," suggests that you are feeling overwhelmed by decisions and choices that you need to make in your life. Alternatively, it indicates that you are seeking for emotional nourishment outside of your social support system.",37,1
Restrained,To dream that you are restrained," indicates that you are holding yourself back and not fully expressing yourself. Perhaps you are feeling helpless in some situation. The dream may also be a reflection of the actual state of your body, known as REM paralysis.",32,2
Restrained,#Ref:paralyzed,#Ref:paralyzed,14,2
Restricted,To dream that you are in a restricted area, indicates that you are not ready to face up to some issue or problem. It may also imply that you are being hindered from expressing yourself.,42,1
Rèsumè,To see a rèsumè in your dream," suggests that you are evaluating your own abilities and performance in some situation. Depending on how you feel about the r�sum�, it is telling of whether or not you feel you have what it takes for the task at hand.",29,1
Resurrection,To dream that you or someone is resurrected from the dead," suggests that you will eventually overcome your current obstacles to achieve your goals. It signals an awakening of your spirituality and renewed energy. Alternatively, the dream indicates that the same old problems are coming back to haunt you because they were not properly addressed or dealt with in the first place.",57,1
Resuscitate,To dream that you are being resuscitated," suggests that something from your subconscious is emerging to the surface. Alternatively, the dream means that you are feeling exhausted or emotionally drained. You are seeking advice.",40,2
Resuscitate,To dream that you resuscitate someone," indicates that you are able offer some insight on a situation. Alternatively, the dream implies that you have resolved some anxiety, fear or tension in your life.",37,2
Retainer,To wear a retainer in your dream," suggests that are holding your emotions back and not expressing yourself. As a result, you are feeling stifled.",32,1
Retarded,#Ref:mentallychallenged,#Ref:mentallychallenged,23,1
Retire,To dream of retirement," represents issues you have with getting old. Retirement may also refer to a transition or phase. Alternatively, the dream may be a metaphor for something that you need to ""retire"" or put to rest.",22,1
Retreat,To dream that you are on a retreat, represents spiritual renewal and healing. It is time to replenish your energy.,34,2
Retreat,To dream that you are retreating from a situation, indicates that you do not have the strength or the energy to deal with some waking situation. Perhaps you are in denial about something.,49,2
Reunion,To dream that you are attending a reunion, suggests that there are feelings from the past which you need to acknowledge and recognize. Or perhaps the dream is highlighting how you have already incorporated certain aspects or qualities of the people in your dream reunion.,41,1
Revelation,To dream that you have a revelation," signifies a new or bright outlook toward a situation. You have a clear perspective on things. Alternatively, a dream revelation symbolizes a new idea.",35,1
Revenge,To dream that you are taking revenge, suggests that you are experiencing some emotional imbalance. You are harboring some repressed emotions.,36,2
Revenge,To dream that someone is taking revenge on you, signifies fear and distrust.,46,2
Reverend,To see a reverend in your dream, indicates that you are looking for respect and guidance. The dream may also mean that you need to be more selfless and reach out to others in their time of need.,31,1
Reverse,#Ref:backward,#Ref:backward,13,1
Revolt,To see a revolt in your dream, indicates the influence of peer pressure working against you. You want to go against the masses.,29,1
Revolver,To see a revolver in your dream," symbolizes lingering danger. It also represents fear, anger, aggression, and your quick temper. You are using your power to protect yourself against the fear and anger.",31,1
Revolution,To dream that you are part of a revolution," suggests that major changes are occurring within yourself. You are experiencing some major emotional turmoil that needs to be confronted and resolved. Alternatively, the dream symbolizes your view of the world and your future.",42,1
Revolving Door,#Ref:door,#Ref:door,9,1
Rewind,To dream that something is rewinding," represents your desires to turn back time and redo certain things over again. It may denote regrets and remorse. You need to stop living in the past and look toward the future. Alternatively, the dream may be a reminder of where you came from and how you got to be where you are today. Give appreciation to those who have helped you along the way.",36,1
Rheumatism,To dream that you have rheumatism," suggests that some unexpected issue will delay the achievement of your goals and plans. Alternatively, the dream symbolizes your rigid and inflexible ways. You need to loosen up.",33,1
Rhinestones,To see rhinestones in your dream, signify short-lived pleasures.,32,1
Rhinoceros,To see a rhinoceros in your dream," suggests that you need to forge ahead toward your goals. Do not take ""no"" for an answer or let any obstacles sidetrack you from your destination. You need to be more aggressive.",33,1
Rhubarb,To see or eat rhubarb in your dream," suggests that you are freeing yourself out of an unwanted situation or relationship. Alternatively, it implies that the pleasant times are here to stay.",35,1
Rhyme,To hear or make rhymes in your dream," indicate that you are seeking balance and harmony in your life. Rhymes may be a way for you to better remember an important component in your dream when you wake. Focus on what it may be trying to tell you. Alternatively, the dream symbolizes a silly or confusing situation. Consider the phrase ""no rhyme or reason"".",36,1
Rhythm,To hear a rhythm in your dream, symbolizes the pace of your life.,30,1
Rib,To see your ribs in your dream," suggest that you are shielding yourself from heartbreak. In the biblical sense, the rib is symbolic of your spouse.",30,1
Ribbon,To see a ribbon in your dream," signifies innocence, playfulness, festivities, frivolity and girliness. Consider the type of ribbon and how it is tied. Also consider the color of the ribbon for additional significance. For example, a blue ribbon is associated with being the best. Pink ribbon is symbolic of breast cancer awareness. Yellow ribbon signifies the pending return of a loved one from the military. And a red ribbon symbolizes AIDS awareness.",29,1
Rice,To see grains of rice in your dream," symbolize success, prosperity, luck, fertility and warm friendships.",35,3
Rice,To dream that you are eating rice, denotes happiness and tranquility in the home.,33,3
Rice,To dream that you are cooking rice, signifies the new responsibilities that will bring you much joy.,34,3
Rich,To dream that you are rich," signifies pride and self confidence. You will experience much success through your perseverance. The dream may also refer to someone named ""Rich"" or ""Richard"".",26,1
Rickshaw,To see or ride in a rickshaw," represents a simpler way of life. It also represents manual power and resourcefulness. Alternatively, the dream suggests that you will progress through life at a slow and steady pace.",28,2
Rickshaw,To pull a rickshaw in your dream," symbolizes the burdens that you are literally carrying on your shoulders. You feel that someone else is not pulling their own weight and you are having to support them. Alternatively, it signifies that hard work and manual labor will eventually get you to where you need.",32,2
Riddles,To dream that you are trying to solve a riddle," suggests that your patience is being put to the test in some waking situation. Alternatively, the dream indicates that you are intentionally being cryptic about your true feelings or intentions.",46,1
Ride,To dream that you are riding an animal or vehicle," symbolizes the path and direction of your life. If you were riding away, then it suggests that you need to distance yourself from some issue. Alternatively, the dream means that you are going along with someone else's plans and ideas. You need to be less passive and stand up for yourself. In particular, to dream that you are riding a bicycle, motorcycle, or horse, is analogous to your sexual rhythm.",49,2
Ride,To dream that you are being refused a ride, implies that your views are in conflict with the person or persons in the vehicle.,42,2
Ridge,To dream that you are on a mountain ridge, represents the struggles and challenges you have experienced and/or overcame in your waking life.,41,2
Ridge,To see a ridge in your dream, refers to the balance that you need to maintain in various aspects of your life.,28,2
Rifle,To see a rifle with a scope in your dream," implies that you are directing your anger and aggression toward a specific person or issue. Alternatively, a rifle is symbolic of the penis and raw masculine energy.",41,2
Rifle,Dreaming that you are standing on a roof holding a rifle, means that you feel the need to protect the things that are important to you. You are standing firm on your beliefs.,56,2
Right,To dream of the right side," represents conscious reality, deliberate action and rational thoughts. It may also be a pun on the rightness of an idea, decision, or plan. The dream is telling you that you are doing the right thing or that you are on the right path. Alternatively, the dream may mean that you need to stand up for your ""rights"". Or it may be a metaphor for your right leaning political views.",26,1
Rigor Mortis,To dream that a body is in rigor mortis," suggests that you are feeling emotionally numb, withdrawn, and detached from those around you.",39,1
Ring,To see or receive a ring in your dream," symbolizes emotional wholeness, continuity, commitments and honor. If the ring is on your finger, then it signifies your commitment to a relationship or to a new endeavor. You are loyal to your ideals, responsibilities, or beliefs.",38,3
Ring,To dream that your ring is broken," indicates that your loyalty is called into question. Alternatively, a broken ring symbolizes an end to some relationship. There is a loss of commitment.",33,3
Ring,To dream that you lose a ring or someone has stolen your ring, represents insecurity. You may be losing interest in some relationship or issue.,61,3
Ringmaster,To see or dream that you are a ringmaster, suggests that you are taking control of your hectic life. You are searching for order in your life.,41,1
Ringworms,To dream that you have ringworms, signify a major annoyance or frustration in your waking life. You are being sidetracked by counterproductive activities.,32,1
Rink,To see a rink in your dream," suggests that you are going around in circles. Alternatively, the dream indicates that you have control over your cold or bitter feelings.",27,1
Riot,To see or participate in a riot in your dream," suggests that you need to stand up for yourself. You need to speak up and address what is bothering you. Alternatively, the dream signifies a loss to your individuality. You are involved in a situation that is destructive to your well being.",45,1
Rip,To rip something in your dream," indicates dissatisfaction with the direction that a project or situation is going. Alternatively, the dream may be a a pun on ""rip off"" or ""to rip on someone"" as in to insult or bad mouth them. Consider if these scenarios parallel your waking situation.",30,2
Rip,To see something rip in your dream," suggests that you are overestimating the strength of something. In particular, to dream that your notebook is ripped means that you lack confidence in your ability to write and convey your thoughts. Perhaps you are having difficulty accepting your flaws and imperfections. Alternatively, the dream may be a metaphor to signify the acronym for ""R.I.P.""",34,2
Rising,To dream that something is rising into the air, refers to unexpected wealth and pleasures. The dream may be a metaphor that you are rising above a situation.,46,2
Rising,To dream that you are rising to a high position, means that success will come as a result of your determination.,47,2
Risk,To dream that you are taking a risk, indicates that you are pushing yourself to the limit. You are seizing an opportunity and standing up to your fears.,35,1
Ritual,To dream of a ritual," indicates that there is a habit that you need to break. Some waking pattern is repeating itself, resulting in a viscous cycle. You need to focus your energies and cleanse yourself spiritually and emotionally.",20,1
Rival,To dream that you have a rival," indicates that you are reluctant in asserting you rights and standing up for yourself. Consequently, you are losing your credibility and standing with others. Alternatively, the dream means that you need to be more aggressive.",30,2
Rival,To dream that you are outwitted by a rival, suggests that you have neglected your duties or abandoned your responsibilities.,42,2
River,To see a clear and calm river in your dream," indicates that you are just going with the flow. You are allowing your life to float away. It is time to take a more decisive role in directing your life. Alternatively, a river symbolizes joyful pleasures, peace, prosperity and fertility. If you are crossing a river in your dream, then it represents an obstacle or issue that you need to deal with in order to move closer toward your goal. It is also reflective of a new stage in your life. If the river is muddy, then it indicates that you are in turmoil.",43,4
River,To see a raging or an overflowing river in your dream," signifies that your life is feeling out of control. You are feeling emotionally unsettled. Alternatively, this dream means you are ready to confront life's challenges and life's twists and turns. To see a contaminated river in your dream implies that you are feeling tired and lethargic. It may also be a sign of some illness.",53,4
River,To dream that a river is comprised of flowing red chili, refers to the raw emotion and intense passion or anger that is flowing through you and yearning to be expressed. meanings by DreamMoods.com,55,4
River,To dream that you are bathing in a river, represents purification and cleansing.,40,4
Riverbed,To see a dried up riverbed in your dream, means that you are devoid of emotions. Perhaps something has made you emotionally numb.,40,1
Roaches,#Ref:cockroach,#Ref:cockroach,14,1
Road,To see a road in your dream," refers to your sense of direction and how you are pursuing your goals. If the road is winding, curvy, or bumpy in your dream, then it suggests that you will encounter many obstacles and setbacks toward achieving your goals. You may be met with unexpected difficulties. If the road is dark, then it reflects the controversial or more frightening choices which you have made or are making.",27,6
Road,"If the road is smooth and bordered by trees or flowers, ","then it denotes a steady progress and steady climb up the social ladder. If the road is straight and narrow, then it means that your path to success is going as planned.",56,6
Road,Dreaming of a dirt or gravel road," implies that the path toward your goals will take some effort and work. It may take perseverance and time before you see progress. Alternatively, the dream suggests that you are paving the way. You are doing all the work to make it easier for others later on.",33,6
Road,To see an unknown road in your dream, represents a path that has not been ventured. You are setting a new precedence for something.,36,6
Road,To dream that a threatening creature is on a road," parallels a hostile situation/person you are encountering in your waking life. It is an obstacle that you need to overcome, no matter how intimidating the situation or person may appear.",49,6
Road,To dream that the road is flooded, implies that you are letting your emotions stop you have moving toward your goals. You are being too subjective in some matter.,33,6
Road Rage,To dream that you have road rage, indicates that your emotions are out of control. You feel that someone is out to get you. You need to find a better way to express your feelings or you or someone will get hurt.,32,1
Road Signs,To see road signs in your dream, represent some advice and message that your subconscious is trying to convey. The road sign may be trying to guide you toward certain decisions. Consider what the road sign is saying and how you need to apply its message to an aspect of your daily life.,31,2
Road Signs,#Ref:stopsign,#Ref:stopsign,13,2
Road Trip,To dream that you are taking a road trip," signifies your life journey and the decisions you make in life. If the road trip is a smooth one, then it indicates that you are transitioning smoothly through life's events. If the road trip is chaotic, then it denotes the many obstacles and issues in your waking life. Consider the destination and the stops that you make on your road trip.",40,1
Roadblock,To see a roadblock in your dream, signifies obstacles in your business or personal life. You are experiencing some setbacks toward your goals. You just need to be more persistent and diligent in trying to overcome the obstacles that come your way.,32,1
Roadkill,To see roadkill in your dream," represents unavoidable death. The death may be a symbolic death representing an end to a habit, behavior or idea. It is time to let go of old habits and put those ideas to rest, as you are only prolonging the inevitable. Alternatively, roadkill suggests that there is some issue in your past that is hindering your pursuit of your goals.",29,2
Roadkill,To dream that an animal is about to become roadkill, indicates loss of control in some aspect of your life. Consider the type of animal that is hit for clues as to what aspect of your life is out of control.,51,2
Roadrunner,To see a roadrunner in your dream," represents mental agility. You tend to run toward one idea after another. At the same time, you also have the ability to stop at a moment's notice to consider your next plan of action.",33,1
Roadwork,To see roadwork in your dream," represents the many obstacles, setbacks, and delays that you will need to overcome as your move toward your goals. You need to allow yourself more time to complete your goals. The dream may also be analogous to the complications and difficulties that you are experiencing in your waking life.",29,1
Roar,To make or hear a roar in your dream," symbolizes repressed aggression and anger. You may be holding back these negative feelings in your waking life, but they need to be expressed and let out.",36,1
Roast,To see or eat roast in your dream, refers to comfort and warmth in the home.,33,2
Roast,To dream that you are roasting something ,"may be a pun on ""roasting someone"". Perhaps you need to learn to laugh at yourself.",41,2
Robbery,To dream that you have been robbed," indicates that you are experiencing an identity crisis or are suffering from some sort of loss in your life. Alternatively, the dream means that someone has stolen your success or has taken credit for something you did. Perhaps you feel that you have been treated unfairly.",34,3
Robbery,"If you witness an armed robbery in your dream, ","then it means that you are feeling helpless in a situation. You want to take action but are afraid to speak out. Alternatively, the dreams points to a lack of stability in your life.",47,3
Robbery,To dream that you are committing armed robbery, represents suppressed anger. You feel that you are only taking what you are entitled to.,46,3
Robe,To see or wear a robe in your dream, signifies personal issues that you need to confront. The dream may also refer to your secret desire to let loose.,35,1
Robin,To see a robin in your dream," represents new beginnings. It is a time for growth. You are feeling invigorated and inspired by the possibilities that are out there for you. Alternatively, a robin signifies self-sacrifice. The dream may also be a pun on someone whose name is Robin.",28,1
Robin Hood,To see or dream that you are Robin Hood, indicates your compassion for those who are less fortunate. It refers to your giving and charitable nature.,39,1
Robot,To see a robot in your dream," indicates that you are going about life in a mechanical, methodical and rigid way. You have lost the ability to express your feelings. Alternatively, a robot symbolize the way you view your working life.",28,1
Rock Climbing,To dream that you are rock climbing," symbolizes your struggle, determination, and ambition. You are not letting any obstacles get in the way of your goal. Additionally, the dream indicates that you have an edge over others.",35,1
Rock Slide,To see a rock slide in your dream," suggests that you are experiencing a ""rocky"" period in your waking life. You are overwhelmed with pressure. You feel like the weight of life's daily demands is crumbling down on you.",33,1
Rock Star,To dream that you are a rock star," indicates your desire to be looked up to. You want to be admired and wanted. Perhaps you are lacking a sense of belonging or excitement in your waking life or you want to escape the mundaneness Alternatively, the dream maybe be a metaphor that you need to be a ""rock"". In other words, you need to gain a more solid footing of a situation.",33,2
Rock Star,To see a rock star in your dream, signifies the beat of your life.,32,2
Rocket,To see a rocket in your dream," indicates that your plans or ideas will soon be taking off in a big way. You are experiencing a higher level of awareness. All your hard work is paying off. Alternatively, you feel that things are going too fast. If a rocket is taking off, then it is symbolic of male sexuality.",29,1
Rocking,To dream that you are rocking yourself," suggests that you are regressing into childlike behavior. The dream may be pointing out your juvenile attitude. Alternatively, the dream indicates your need to be comforted and reassured.",38,1
Rocking Chair,To dream that you or someone is sitting in a rocking chair," signifies a life of ease, comfort and relaxation. You have no worries.",58,2
Rocking Chair,To see an empty rocking chair in your dream," represents sadness or quiet contemplation. If you dream that an empty rocking chair is chasing you, then it points to your tenacity and refusal to give up. It may also mean that you are not confronting an issue from your past. The empty rocking chair may be a reminder of someone in your past who sat in a rocking chair; perhaps you have some unfinished business between this person.",43,2
Rocking Horse,To see a rocking horse in your dream," indicates that you are feeling stuck in some area of your life. You are not making any progress toward your goals. Alternatively, a rocking horse may be memories of your childhood. meanings by DreamMoods.com",36,1
Rock,To see a rock in your dream," symbolizes strength, permanence, stability and integrity, as conveyed in the common phrase ""as solid as a rock"". The dream may also indicate that you are making a commitment to a relationship or that you are contemplating some changes in your life that will lay the groundwork for a more solid foundation. Alternatively, a rock represents stubbornness, disharmony and unhappiness.",27,4
Rock,To dream that you are climbing a rock," signifies your determination, ambition and struggle. If the rock is particularly steep, then it refers to obstacles and disappointments.",37,4
Rock,Dreaming that you are hit by a rock or that someone is throwing rocks at you, represents insults and criticism that is aimed toward you. It also points to a situation where you are caught off guard.,76,4
Rock,"If you are walking on rocks in your dream, ",then it indicates that you are on shaky ground. You may be involved in an uneasy situation. The dream may also be telling you not to get too comfortable or too arrogant.,43,4
Rodent,To see a rodent in your dream," symbolizes filth, dirtiness, repulsiveness and death. There is a negative influence in your life. Please look up the significance of the specific rodent for additional meaning.",29,1
Rodeo,To dream that you are at the rodeo, suggests that you need to take control of your animalistic forces and primal urges.,34,1
Rogue,To dream that you are going rogue, indicates that you are pushing the limits. You are lacking restraint and control in your life.,33,1
Roughneck,To see a roughneck in your dream, represents hard work and dedication. You are trying to work through a difficult time.,32,2
Roughneck,Dreaming that you are a roughneck, implies that you are keeping your emotions in check or that you are not fully expressing them.,33,2
Roller Blades,To dream that you are on roller blades, suggests that you are moving rapidly through life with tremendous ease and determination. You are experiencing a sense of liberation and freedom.,38,1
Roller Coaster,To dream that you are riding a roller coaster, represents life's frequent ups and downs. You are experiencing erratic behavior brought on by yourself or a situation.,45,3
Roller Coaster,Dreaming that a roller coaster is missing rails, implies that you are lacking a support system in your waking life.,47,3
Roller Coaster,"If you dream that you are stuck on a roller coaster or that the roller coaster has broken down, ","then it implies that a project or relationship has lost its momentum. Perhaps what started out as something fun or exciting has slowed down. Alternatively, a broken-down roller coaster refers to a project or plan that was poorly thought out.",96,3
Roller Derby,To watch or be in a roller derby in your dream, means that you need to show more determination in achieving your goals. You cannot always be nice if you want to move ahead. Sometimes you need to go for it.,46,1
Roller Skates,To dream that you are on roller skates," implies that you are progressing toward your goals at a steady and leisurely pace. If you are wobbly on roller skates, then it means that you are unsure of your direction in life.",38,3
Roller Skates,To see someone on roller skates in your dream," refers to someone in your life who may be ""skating"" around some issue. It is time to confront this person on the issue.",45,3
Roller Skates,To see or buy roller skates in your dream, signifies balance or lack of balance in your life. It also represents innocence and carefree attitude.,41,3
Rolling Credits,To see rolling credits in your dream, represents recognition for your work. You are looking for acknowledgement for a job well done.,36,2
Rolling Credits,To see your name in the rolling credits in your dream, symbolizes your confidence in your own ability. You believe that you can succeed in whatever you pursue.,53,2
Rolling Pin,To see or use a rolling pin in your dream, represents your creative ability. You are feeling productive and optimistic about some new project.,41,2
Rolling Pin,To dream that you are using a rolling pin as a weapon, indicates that you are being too hasty about a decision. You are on the verge of losing your temper.,53,2
Roly Poly,To see a roly poly in your dream," indicates that you tend to keep to yourself and wallow in your emotions. Alternatively, dreaming of a roly poly means that you are feeling misunderstood.",32,1
Roman Numerals,To see roman numerals in your dream, denote the initials of someone in your waking life. It may also correspond to the actual meaning of the letter. The Roman numeral may also share the same significance as the Arabic numeral.,35,5
Roman Numerals,I -, symbolizes yourself,3,5
Roman Numerals,II - it may, represent the number 2 or 11.,11,5
Roman Numerals,V-, symbolizes the number 5 or victory.,2,5
Roman Numerals,X -, symbolizes the number 10 or the letter X.,3,5
Romance,To dream of romance, suggests that you need to be more affectionate in your waking life. Perhaps you are longing for more romance in your personal relationship.,19,1
Rome,To dream that you are going to Rome or are in Rome," signifies love, death, destiny or fate. Consider the phrases ""Rome wasn't built in a day"" or ""when in Rome, do as the Romans do"" or ""all roads lead to Rome"". Think about how these adages are applicable to some aspect of your walking life.",50,2
Rome,Dreaming of Ancient Rome," symbolizes power, domination and limitless goals. You are expanding your awareness.",24,2
Romeo And Juliet,To dream that you are Romeo, indicates that you are in touch with your emotions. It also implies that you go after your desires.,27,3
Romeo And Juliet,To dream that you are Juliet, suggests that something that you desire is being kept from you.,28,3
Romeo And Juliet,To see Romeo and Juliet in your dream, represents the battle of love and hate. Perhaps you are having to deal with these feelings in some waking situation.,37,3
Roof,To see a roof in your dream," symbolizes a barrier between two states of consciousness. You are protecting or sheltering your consciousness, mentality, and beliefs. The dream provides an overview of how you see yourself and who you think you are.",27,5
Roof,To dream that you are on top of a roof," symbolizes boundless success. If you fall off the roof, then it suggests that you do not have a firm grip and solid foundation on your advanced position. If you dream that the rooftops are falling away from you as you cross from rooftop to rooftop, then it implies that there is no turning back once you move forward with your goals. You need to stay the course and continue to move forward. If you are re-roofing in your dream, then it suggests that you need to raise your goals and set your sights higher.",38,5
Roof,To dream that the roof is leaking," represents distractions, annoyances, and unwanted influences in your life. New information is slowly revealing itself to you. Something is finally getting through to you. Alternatively, the dream means that someone is imposing and intruding their thoughts and opinions on you. meanings by DreamMoods.com",33,5
Roof,To dream that the roof is falling in, indicates that your high ideals are crashing down on you. Perhaps you need to rethink the high expectations or goals you have set for yourself.,36,5
Roof,Dreaming that the sky lowers itself and touches the roof of your house," suggests that you may be setting your sights or goals too low. Perhaps you are lowering your standards. Alternatively, to dream that the sky is touching your roof represents spiritual guidance. Something or someone is looking out for you.",70,5
Rook,To see a rook in your dream," represents your ability to move and traverse through life with relative ease. Alternatively, the dream means that you are going in to many direction. You are too scattered.",27,1
Room,To dream that you are in a room," represents a particular aspect of yourself or a specific relationship. Dreams about various rooms often relate to hidden areas of the conscious mind and different aspects of your personality. If the room is welcoming or comfortable, then it signifies opulence and satisfaction in life. If you see a dark or confined room, then it denotes that you feel trapped or repressed in a situation.",31,7
Room,To dream that you find or discover a new room," suggests that you are developing new strengths and taking on new roles. You are growing emotionally. Consider what you find in the discovered room as it may indicate repressed memories, fears, or rejected emotions. Alternatively, such rooms are symbolic of neglected skills or rejected potential.",45,7
Room,Dreaming that you are building or adding a room," means that you are experiencing a surge of energy and renewed confidence. You have a different outlook on life and are moving toward a new direction in life. Alternatively, to build a room in your dream is symbolic of an expansion to your family.",47,7
Room,To dream that you are in an empty white room," indicates a fresh start. It is like a blank canvas where you want to start life anew. Alternatively, the dream means that you are trying to isolate yourself. You do not want any outside influences.",44,7
Room,Dreaming that you are in a dark room with no doors," signify ignorance. You are isolating yourself. Alternatively, the dream means that you refuse to be influenced by outside forces.",50,7
Room,To dream of a dirty or messing room, refers to an aspect of yourself that you are ashamed of or are refusing to acknowledge.,35,7
Room,To dream of a yellow room, suggests that you need to use your mind. You are feeling stimulated mentally.,25,7
Roommate,To see your old roommate in your dream, suggests that there is a lesson that you need to acknowledge from that former relationship and apply it to a current life situation. Perhaps you need to incorporate aspects of your ex-roommate with your own self.,38,4
Roommate,To dream of your current roommate, indicates that there are issues that you are not confronting with her or him.,33,4
Roommate,To dream that you are looking for a roommate, suggests that you are ready to incorporate a new and unknown component into your life. You are receptive to change.,44,4
Roommate,"If you don't have any roommates, but dream that you do, ","then it means that you are looking for a friend or for companionship. You want a friend who you can share your feelings with, who you can be open with and who you can talk to about anything.",56,4
Rooster,To see a rooster in your dream," symbolizes masculinity, pride, valor, cockiness and arrogance. It indicates that you or someone is being a show-off with little or no regards for others. Alternatively, the dream highlights your eccentricities or wittiness. The dream may also be a pun on the penis.",30,3
Rooster,To hear a rooster in your dream, signifies bragging and self-glorification.,31,3
Rooster,To see roosters fighting in your dream, suggests that you are involved in some bitter rivalry.,38,3
Root Beer,To see or drink root beer in your dream, signifies being happy and carefree. Consider the name of the root beer for further significance of the dream.,39,1
Roots,To see plant or tree roots in your dream," symbolize the depths and core of your subconscious mind and soul. It represents your values and belief system. Alternatively, roots denote your family ties and bonds. You may be searching into your past. Or perhaps you need to get to the root of some problem in your waking life. meanings by DreamMoods.com",40,2
Roots,To dream that you are pulling up roots, suggests that you are ready to move on from the past. You have to let go of the relationship that is holding you back.,38,2
Rope,To see a rope in your dream," represents your connection and attachment to others. It is symbolic of what is holding your relationship together. Alternatively, a rope signifies bondage, restriction and captivity.",27,5
Rope,To dream that you are walking on a rope, indicates that you are in a very precarious situation. You need to proceed carefully and weigh all the pros and cons of your decisions.,39,5
Rope,To dream that you are climbing up a rope," represents your determination to succeed and overcome adversity. It may be analogous to your climb to the top. If you are climbing down a rope, then it indicates that you are experiencing disappointments and decline in some professional progress.",40,5
Rope,To dream that you are tied up in ropes," suggests that you are letting your heart guide you, despite your better judgment.",38,5
